publication	alexaworldrank	alexausrank	youtubefollowers	twitterfollowers	facebookfollowers
ABC News	624	143	1,792,211	6,189,484	8,301,100
AM New York	54228	13548	494	54,914	15,634
Associated Press	2178	682	599,461	7,892,780	378,939
Bloomberg	386	187	343,429	3,187,292	1,868,696
Brooklyn Magazine	84458	19369		36,211	33,984
Business Insider	314		135,624	1,547,044	5,267,829
BuzzFeed	141	50	9,927,496	3,131,581	7,544,122
CBS News	633	159	234,243	4,530,453	3,162,633
Citylab	14203	3551		134,413	110,296
Columbia Journalism Review	68565			83,69	47,953
Cosmopolitan	2126			1,490,244	7,984,275
Daily Beast	974	314		919,229	1,998,381
Daily News	849	252	44,097	459,317	1,802,607
Eater	3141	731		372,642	659,693
El Diario La Prensa	43576	367	1,134	35,413	549,399
Entrepreneur	1356			2,328,405	2,761,827
Esquire	2098	676	35,715	362,078	903,066
Fast Company	3056	1180		2,078,502	940,896
FiveThirtyEight	990	332		623,021	217,656
Forbes	224	84	244,427	9,608,335	2,893,081
Fox News	206	47	267,512	9,401,098	12,509,232
Gawker	949	284	4,189	638,727	988,684
Gizmodo	366	104		1,973,175	1,341,416
Gothamist	7537	1784		454,65	202,589
Huffington Post	155	45	126,365	7,121,859	7,282,173
Inc.	1381	790		1,679,023	886,721
International Business Times	2322	1135		119,72	454,349
Marie Claire	4837	1562		2,155,519	2,703,017
Mashable	415	233		7,153,861	3,527,852
Mic	1646	567		41	1,861,774
Narratively	104447	19575		14,93	41,65
National Review	4048	930		176,025	768,05
NBC News	46480	25429		3,570,592	7,168,388
New York Magazine	1779	462		1,178,137	2,148,261
New York Observer	#VALUE!	#N/A		178,476	224,311
New York Post	801	221		951,865	2,723,129
Newsday	10013	2227		137,809	513,502
Newsweek	3631	1465		2,870,849	963,793
NYCity News Service	1060973	262089		1,125	4,272
Polygon	2315	785		415,663	541,4
ProPublica	27054	6182		425,661	138,48
Quartz	1582	719		212,515	988,765
Refinery29	1514	384		1,128,265	3,469,311
Reuters	451	359		13,360,602	2,805,105
Roads and Kingdoms	141922	69854		19,267	29,392
Salon	1434	468		646,532	903,59
Spoon University	15725	3649		13,405	1,306,860
The Awl	44573	12227		62,982	35,428
The Intercept	10018	2539		117	132,535
The Marshall Project	100231	28079		31,633	35,949
The New York Times	119	32		27,980,474	11,275,486
The New Yorker	1610	506		6,394,764	2,973,378
The Verge	518	227		1,322,737	2,119,361
The Wall Street Journal	410	134		11,107,493	4,752,096
theSkimm	32761	9609		144,323	552,873
Time Magazine	655	247		10,804,830	9,852,004
Vice	156	74		1,523,671	5,264,293
Vogue	3666	1536		11,255,636	7,633,407
Voices of New York	1109221	264650		1,533	1,438
Wired	935	424		6,164,654	1,962,733
WNYC	13702	3422	38,517	134,928	99,743
