Incident Date,State,City Or County,Short_Address,Address,latitude,longitude,Killed,Injured
6/22/2016,Washington,Lacey,500 block of Dutterow Road,500 block of Dutterow Road Lacey Washington,47.05376,-122.741284,3,1
6/21/2016,New Jersey,Willingboro,Mosshill Lane,Mosshill Lane Willingboro New Jersey,40.031049,-74.892399,0,4
6/21/2016,Kentucky,Louisville,2802 Rodman Street,2802 Rodman Street Louisville Kentucky,38.208859,-85.770149,2,2
6/19/2016,Virginia,Roanoke,2328 Melrose Avenue,2328 Melrose Avenue Roanoke Virginia,37.285884,-79.975037,0,4
6/18/2016,Virginia,Exmore,Fredrick Douglas Road,Fredrick Douglas Road Exmore Virginia,37.531801,-75.822986,1,3
6/18/2016,Georgia,Waycross,2625 Arnold Ct,2625 Arnold Ct Waycross Georgia,31.222591,-82.375284,2,2
6/18/2016,Illinois,Chicago,East 79th Street and South Escanaba Avenue,East 79th Street and South Escanaba Avenue Chicago Illinois,41.751887,-87.554038,0,4
6/14/2016,Delaware,Wilmington,South Van Buren and Elm streets,South Van Buren and Elm streets Wilmington Delaware,39.740781,-75.564563,0,4
6/14/2016,California,Oakland,1301 Franklin Street,1301 Franklin Street Oakland California,37.803382,-122.270555,1,3
6/13/2016,California,Fresno,East El Monte Way and Recreation Avenue,East El Monte Way and Recreation Avenue Fresno California,36.734977,-119.738712,0,4
6/13/2016,New York,Brooklyn,Avenue D and E. 57th,Avenue D and E. 57th Brooklyn New York,40.642746,-73.922619,0,5
6/13/2016,Illinois,Chicago,3200 block of West Congress,3200 block of West Congress Chicago Illinois,41.874931,-87.705971,0,5
6/12/2016,Florida,Orlando,1912 S Orange Avenue,1912 S Orange Avenue Orlando Florida,28.519605,-81.376799,50,49
6/11/2016,Minnesota,Webster,4000 block of Elmore Avenue,4000 block of Elmore Avenue Webster Minnesota,44.529779,-93.372868,0,4
6/11/2016,California,Stockton,Alvarado Avenue,Alvarado Avenue Stockton California,37.987425,-121.291156,1,3
6/11/2016,California,Panorama City,8500 block of Cedros Avenue,8500 block of Cedros Avenue Panorama City California,34.224767,-118.453532,3,2
6/11/2016,New Mexico,Roswell,2300 block of Davis Ave,2300 block of Davis Ave Roswell New Mexico,33.419609,-104.518185,5,0
6/11/2016,North Carolina,Charlotte,4000 block of Collegiate Avenue,4000 block of Collegiate Avenue Charlotte North Carolina,35.324215,-80.710525,1,3
6/9/2016,Florida,Fort Walton Beach,Landview Drive,Landview Drive Fort Walton Beach Florida,30.462035,-86.649019,0,4
6/8/2016,Massachusetts,Boston,66 Washington St,66 Washington St Boston Massachusetts,42.343407,-71.142325,1,3
6/8/2016,District of Columbia,Washington,North Capitol Street and New York Avenue NW,North Capitol Street and New York Avenue NW Washington District of Columbia,38.895984,-77.041721,0,4
6/6/2016,California,Visalia,33 60 South Fairway Street,33 60 South Fairway Street Visalia California,36.330589,-119.310659,0,4
6/5/2016,Minnesota,Minneapolis,8th and Humboldt Avenue N.,8th and Humboldt Avenue N. Minneapolis Minnesota,44.98634,-93.298182,0,4
6/5/2016,Florida,Cape Coral,2600 block of Skyline Boulevard S,2600 block of Skyline Boulevard S Cape Coral Florida,26.603717,-81.990799,3,3
6/5/2016,New York,Brooklyn,Mermaid Ave and 16th St.,Mermaid Ave and 16th St. Brooklyn New York,40.576736,-73.983715,0,4
6/5/2016,Arizona,Phoenix,8152 N Black Canyon Hwy,8152 N Black Canyon Hwy Phoenix Arizona,33.556386,-112.113982,2,5
6/4/2016,Colorado,Denver,3600 block of Hudson Street,3600 block of Hudson Street Denver Colorado,39.767445,-104.923426,3,1
5/31/2016,Illinois,Chicago,3300 block of West Huron Street,3300 block of West Huron Street Chicago Illinois,41.893705,-87.708935,0,4
5/31/2016,Indiana,Fort Wayne,6600 block of Pawawna Drive,6600 block of Pawawna Drive Fort Wayne Indiana,41.105946,-85.057139,0,4
5/30/2016,Maryland,Baltimore,500 block of East 43rd Street,500 block of East 43rd Street Baltimore Maryland,39.341195,-76.609048,0,5
5/30/2016,California,Sacramento,3900 block of 44th,3900 block of 44th Sacramento California,38.539455,-121.455463,0,5
5/29/2016,Nevada,Las Vegas,200 block of North 3rd Street,200 block of North 3rd Street Las Vegas Nevada,36.171827,-115.141839,0,4
5/29/2016,Texas,Houston,13210 Memorial Drive,13210 Memorial Drive Houston Texas,29.772935,-95.574114,2,6
5/29/2016,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,600 block of Martin Luther King Jr. Boulevard Trenton New Jersey,40.22942,-74.763208,0,6
5/29/2016,Indiana,Indianapolis,300 block of South Meridian Street,300 block of South Meridian Street Indianapolis Indiana,39.762348,-86.158299,0,4
5/23/2016,New Jersey,Newark,102 Isabella Avenue,102 Isabella Avenue Newark New Jersey,40.741443,-74.220915,0,5
5/22/2016,Louisiana,New Orleans,8639 Apple St,8639 Apple St New Orleans Louisiana,29.961617,-90.12371,0,4
5/22/2016,California,Stockton,Poplar and Sutter Streets,Poplar and Sutter Streets Stockton California,37.962289,-121.288289,1,3
5/22/2016,Tennessee,Nashville,100 block of Rains Avenue,100 block of Rains Avenue Nashville Tennessee,36.140123,-86.763782,0,4
5/21/2016,Georgia,Jackson,Levi Barnes Road,Levi Barnes Road Jackson Georgia,33.259834,-84.027383,1,3
5/18/2016,Indiana,Indianapolis,34th Street and North Keystone Avenue,34th Street and North Keystone Avenue Indianapolis Indiana,39.818099,-86.121671,0,4
5/17/2016,South Carolina,Ravenel,5360 Savannah Highway,5360 Savannah Highway Ravenel South Carolina,32.784928,-80.203702,3,1
5/15/2016,Georgia,Moultrie,Rossman Dairy Road,Rossman Dairy Road Moultrie Georgia,31.212352,-83.851801,5,0
5/15/2016,Indiana,Evansville,420 North Garvin Street,420 North Garvin Street Evansville Indiana,37.98114,-87.556674,0,4
5/14/2016,Georgia,Atlanta,Cordova and Peoples Street,Cordova and Peoples Street Atlanta Georgia,33.748995,-84.387982,0,5
5/14/2016,West Virginia,Charleston,2300 block of Washington Street West,2300 block of Washington Street West Charleston West Virginia,38.376622,-81.673817,1,3
5/11/2016,Alabama,Birmingham,1400 block of 21st Street N,1400 block of 21st Street N Birmingham Alabama,33.531259,-86.814271,1,4
5/11/2016,Illinois,Chicago,7100 block of South State Street,7100 block of South State Street Chicago Illinois,41.763933,-87.624883,0,5
5/8/2016,Texas,Austin,8600 block of North Lamar,8600 block of North Lamar Austin Texas,30.35461,-97.704693,1,3
5/6/2016,Michigan,Detroit,12300 Block of Gratiot,12300 Block of Gratiot Detroit Michigan,42.415969,-82.989651,1,4
5/6/2016,Alabama,Montgomery,1300 block of Clay Street,1300 block of Clay Street Montgomery Alabama,32.375733,-86.333279,1,3
5/6/2016,Maryland,Bethesda,7101 Democracy Blvd,7101 Democracy Blvd Bethesda Maryland,39.025772,-77.147576,3,3
5/5/2016,Louisiana,Shreveport,300 block of North Thomas Drive,300 block of North Thomas Drive Shreveport Louisiana,32.538851,-93.763457,2,6
5/5/2016,Florida,Miami,2108 NW 19th Terrace,2108 NW 19th Terrace Miami Florida,25.79372,-80.22733,1,3
5/4/2016,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,16th Avenue North and Newton Avenue North Minneapolis Minnesota,44.99522,-93.30571,1,7
5/1/2016,Tennessee,Murfreesboro,1955 Old Castle Drive,1955 Old Castle Drive Murfreesboro Tennessee,35.822794,-86.349051,0,5
4/29/2016,Missouri,Saint Louis (Ferguson),400 block of Dade Avenue,400 block of Dade Avenue Saint Louis (Ferguson) Missouri,38.750924,-90.315047,0,4
4/29/2016,California,Oakland,3200 block of San Pablo Avenue,3200 block of San Pablo Avenue Oakland California,37.822577,-122.277069,0,5
4/27/2016,Louisiana,Baton Rouge,Kerrit Drive,Kerrit Drive Baton Rouge Louisiana,30.491178,-91.087193,1,3
4/27/2016,Mississippi,Kilmichael,Pecan Drive,Pecan Drive Kilmichael Mississippi,33.434977,-89.572586,3,1
4/26/2016,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,6500 block of Hil-Mar Drive District Heights (Forestville) Maryland,38.843186,-76.895419,1,4
4/25/2016,Tennessee,Nashville,400 Charlotte Avenue,400 Charlotte Avenue Nashville Tennessee,36.166509,-86.78152,0,4
4/25/2016,Florida,Miami,1506 Northwest 70th Street,1506 Northwest 70th Street Miami Florida,25.838401,-80.223359,0,5
